epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.941,1.35549,4.46191,1.39978,0,0,0,0,1.10562,4.51668,1.2666,0.0001104,0.0001104,0.0001104
2,560.438,1.29596,4.08989,1.33757,0.06504,0.03136,0.0488,0.03866,1.19412,4.26182,1.27513,0.00021315,0.00021315,0.00021315
3,863.355,1.34007,3.59971,1.34184,0.05623,0.05098,0.0527,0.03486,1.32179,3.68752,1.36992,0.000304628,0.000304628,0.000304628
4,1240.81,1.41039,3.13415,1.40043,0.29765,0.0271,0.03518,0.02237,1.44294,3.06293,1.47363,0.000293768,0.000293768,0.000293768
5,1572.42,1.41976,2.79354,1.37327,0.57685,0.02878,0.04602,0.03133,1.36899,2.40426,1.42291,0.00027669,0.00027669,0.00027669
6,1934.01,1.37764,2.47457,1.337,0.54451,0.05031,0.06844,0.03804,1.33581,2.24532,1.40545,0.000259612,0.000259612,0.000259612
7,2310.05,1.34444,2.25208,1.35319,0.49529,0.04447,0.05893,0.03702,1.32945,1.95166,1.40501,0.000242535,0.000242535,0.000242535
8,2726.73,1.31343,2.11651,1.31264,0.75112,0.04831,0.06275,0.0428,1.32727,1.84783,1.38107,0.000225457,0.000225457,0.000225457
9,3165.04,1.27337,1.98482,1.27429,0.51357,0.0495,0.06048,0.04346,1.31284,1.79864,1.39798,0.00020838,0.00020838,0.00020838
10,3636.79,1.26032,1.90428,1.28056,0.53824,0.03658,0.04108,0.02469,1.27788,1.7057,1.36942,0.000191303,0.000191303,0.000191303
11,4157.68,1.2557,1.93742,1.30131,0.45273,0.03591,0.03841,0.02213,1.28243,1.74877,1.36768,0.000174225,0.000174225,0.000174225
12,4666.4,1.23106,1.85525,1.27615,0.61863,0.02389,0.03163,0.02081,1.24839,1.657,1.33755,0.000157147,0.000157147,0.000157147
13,5120.65,1.16798,1.76073,1.23273,0.63595,0.04387,0.06345,0.04387,1.2485,1.61862,1.33673,0.00014007,0.00014007,0.00014007
14,5683.98,1.17495,1.70873,1.22717,0.54679,0.03445,0.04576,0.02802,1.24771,1.60434,1.33473,0.000122992,0.000122992,0.000122992
15,6157.59,1.17423,1.67067,1.21562,0.43629,0.02849,0.04003,0.02446,1.24482,1.59417,1.33762,0.000105915,0.000105915,0.000105915
16,6715.41,1.11325,1.61136,1.20426,0.55007,0.0258,0.04019,0.02333,1.24321,1.54966,1.33037,8.88375e-05,8.88375e-05,8.88375e-05
17,7395.82,1.10563,1.56177,1.17771,0.55401,0.02594,0.03782,0.02431,1.22279,1.507,1.31187,7.176e-05,7.176e-05,7.176e-05
18,8057.75,1.1087,1.60071,1.1801,0.5366,0.02567,0.03966,0.02527,1.22038,1.49184,1.31372,5.46825e-05,5.46825e-05,5.46825e-05
